,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
18.,1941177239,FISERV INC.,US,FIRST DATA CORPORATION,US,Acquisition 100%,Completed,"39,000,000.00",29.07.2019,100.00000,0.00000,100.00000,522320,511210,FISV,FDC,16.01.2019,Liabilities,Delisted,"17,000,000"
,,,,,,,,,,,,,,,,,,Shares,,"22,000,000"
19.,2007641256,ACQUIROR 10VB8 LLC,US,KELLANOVA,US,Acquisition 100%,Completed,"35,900,000.00",11.12.2025,100.00000,0.00000,100.00000,311230,311230,,K,14.08.2024,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
20.,2007443106,CAPITAL ONE FINANCIAL CORPORATION,US,DISCOVER FINANCIAL SERVICES,US,Acquisition 100%,Completed,"35,300,000.00",18.05.2025,100.00000,0.00000,100.00000,522210,522110,COF,DFS,19.02.2024,Shares,Delisted,"35,300,000"
21.,2007392174,SYNOPSYS INC.,US,ANSYS INC.,US,Acquisition 100%,Completed,"35,000,000.00",17.07.2025,100.00000,0.00000,100.00000,511210,511210,SNPS,ANSS,15.01.2024,Cash Reserves,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"17,400,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"17,600,000"
22.,2007366666,EQT CORPORATION,US,EQUITRANS MIDSTREAM CORPORATION,US,Acquisition 100%,Completed,"35,000,000.00",22.07.2024,100.00000,0.00000,100.00000,211120,211120,EQT,ETRN-RM,11.03.2024,Shares,Listed,"35,000,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
23.,1941447255,ADVANCED MICRO DEVICES INC.,US,XILINX INC.,US,Acquisition 100%,Completed,"35,000,000.00",14.02.2022,100.00000,0.00000,100.00000,334413,334413,AMD,XLNX,27.10.2020,Shares,Delisted,"35,000,000"
24.,1941148354,INTERNATIONAL BUSINESS MACHINES CORPORATION,US,RED HAT INC.,US,Acquisition 100%,Completed,"34,000,000.00",09.07.2019,100.00000,0.00000,100.00000,511210,443142,IBM,RHT,28.10.2018,Cash,Delisted,n.a.
25.,1941416122,LIONHEART II HOLDINGS LLC,US,MSP RECOVERY LLC,US,Acquisition 100%,Completed,"32,500,000.00",23.05.2022,100.00000,0.00000,100.00000,518210,518210,,,12.07.2021,Shares,Unlisted,"32,500,000"
26.,2007615619,GOOGLE LLC,US,WIZ INC.,US,Acquisition 100%,Completed,"32,000,000.00",11.03.2026,100.00000,0.00000,100.00000,518210,519130,GOOGL,,18.03.2025,Cash,Unlisted,"32,000,000"
27.,1941508373,AERCAP US AVIATION LLC,US,GE CAPITAL AVIATION SERVICES LLC,US,Acquisition 100%,Completed,"31,000,000.00",01.11.2021,100.00000,0.00000,100.00000,532411,532411,,,10.03.2021,Shares,Unlisted,n.a.
,,AERCAP AVIATION LEASING LTD,IE,GE CAPITAL AVIATION FUNDING ULC,IE,,,,,100.00000,0.00000,100.00000,551112,532411,,,,Bonds,Unlisted,n.a.
,,,,CELESTIAL TRANSPORTATION FINANCE IRELAND LTD,IE,,,,,100.00000,0.00000,100.00000,532411,,,,,Cash,Unlisted,n.a.
,,,,GECAS TRADING IRELAND LTD,IE,,,,,100.00000,0.00000,100.00000,532411,,,,,,Unlisted,
28.,2007535884,CONSTELLATION ENERGY CORPORATION,US,CALPINE CORPORATION,US,Acquisition 100%,Completed,"29,100,000.00",07.01.2026,100.00000,0.00000,100.00000,221112,221118,CEG,CPN,10.01.2025,Cash,Delisted,"4,500,000"
,,,,,,,,,,,,,,,,,,Shares,,"20,900,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"12,700,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
29.,2008221600,GLADIATORA DESIGNATED ACTIVITY COMPANY,IE,AIR LEASE CORPORATION,US,Acquisition 100%,Completed,"28,200,000.00",08.04.2026,100.00000,0.00000,100.00000,532411,331110,,AL,02.09.2025,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"28,200,000"
