Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size
1909565183.0,KWR,2017-04-05,862500.0,1707409.6,0.5051511951203741,Market Model,2017-04-05,0.078867543,0.0755657076,0.0757596373,250.0,0.0,0,1,14.350487926126583
1941018982.0,D,2018-01-03,13400000.0,51662588.4,0.2593753122907795,Market Model,2018-01-03,-0.052183568,-0.055306692,-0.054715772,250.0,0.5074626865671642,1,1,17.760244448906395
1941019078.0,ENR,2018-01-15,2000000.0,3091160.46,0.6470062055594487,Market Model,2018-01-16,0.1086069555,0.1062659891,0.1015662878,250.0,0.0,0,1,14.94405713176946
1941070569.0,CNP,2018-04-23,8481622.0,11511646.28,0.7367861897160378,Market Model,2018-04-23,-0.060044477,-0.055493875,-0.054331758,250.0,0.0,1,1,16.258869800878532
1941079617.0,CADE,2018-05-13,1400000.0,2527983.75,0.5538010281909447,Market Model,2018-05-14,-0.022954092,-0.02078344,-0.021002508,220.0,1.0,0,0,14.742932606221895
1941083372.0,FITB,2018-05-21,4700000.0,23005245.76,0.2043012297730828,Market Model,2018-05-21,-0.070533372,-0.070482199,-0.071885681,250.0,0.9,1,1,16.95123282440967
1941040317.0,WAB,2018-05-21,11100000.0,9149948.37,1.213121599286139,Market Model,2018-05-21,0.0352628784,0.0355337882,0.0354446189,250.0,0.0,0,0,16.029258794612833
1941085082.0,IBTX,2018-05-22,1036351.0,2230039.2,0.4647232210088504,Market Model,2018-05-22,-0.042553191,-0.050032475,-0.050275449,250.0,1.0,1,1,14.617529721757139
1941041290.0,FTV,2018-06-06,2800000.0,25898082.3,0.1081161132922957,Market Model,2018-06-06,0.0502356902,0.0397401444,0.0401222972,250.0,0.0,0,1,17.069679481457445
1941097973.0,DIS,2018-06-20,85100000.0,157744281.1,0.5394807304998394,Market Model,2018-06-20,-0.010928451,-0.00150547,-0.001617754,250.0,0.4189189189189189,0,0,18.876485805796587
1941099582.0,GTN,2018-06-23,3647000.0,74355.45,49.048186783887395,Market Model,2018-06-25,0.3936651584,0.3697027999,0.4016638081,250.0,0.21853578283520703,0,1,11.21661225115208
1941730241.0,GDEN,2018-07-16,190000.0,805070.5,0.2360041760317885,Market Model,2018-07-16,0.1434977578,0.1279305154,0.1334411983,250.0,0.18421052631578946,0,0,13.598685130205755
1941112505.0,VBTX,2018-07-24,1000000.0,792411.37,1.2619707867139769,Market Model,2018-07-24,-0.029990628,-0.037910627,-0.038878804,250.0,1.0,1,1,13.58283594251732
1941112288.0,SNV,2018-07-24,2900000.0,6539436.8,0.4434632658274181,Market Model,2018-07-24,-0.083867424,-0.098270342,-0.098670989,250.0,1.0,1,1,15.693361603517216
1941118434.0,SWK,2018-08-07,690000.0,22186450.0,0.0311000633269405,Market Model,2018-08-07,-0.008788319,-0.015717807,-0.015775611,250.0,0.0,0,1,16.914992300136433
1941119291.0,WSFS,2018-08-08,1500000.0,1758580.2,0.8529608146389912,Market Model,2018-08-08,-0.088187556,-0.091658359,-0.091038519,250.0,0.853582,1,1,14.380017336907668
1941124397.0,MOFG,2018-08-21,152900.0,402315.32,0.3800501556838551,Market Model,2018-08-21,0.007761194,0.0047311013,0.0044405298,250.0,0.7724002616088947,0,1,12.904991438246869
1941134579.0,BUSE,2018-08-22,264300.0,1557730.83,0.1696698780751485,Market Model,2018-08-22,0.0249121686,0.0233054969,0.02343362,250.0,0.7,0,1,14.258740724119866
1941124168.0,HIG,2018-08-22,2200000.0,18759650.46,0.1172729739656353,Market Model,2018-08-22,-0.040015391,-0.040767106,-0.040869417,250.0,0.0,1,1,16.74721886917261
1941056297.0,HCA,2018-08-31,1500000.0,46034115.21,0.0325845298243975,Market Model,2018-08-31,0.0170271037,0.018539346,0.0184791334,250.0,0.0,0,1,17.644893314578027
1941130121.0,SAIC,2018-09-10,2500000.0,3814107.7,0.6554613022595035,Market Model,2018-09-10,-0.113992496,-0.121682221,-0.119267215,250.0,0.64,1,1,15.154217302814082
1941132203.0,PRK,2018-09-13,141800.0,1702196.37,0.0833041372306533,Market Model,2018-09-13,-0.026136053,-0.031430815,-0.031387544,250.0,0.7997179125528914,0,0,14.347429957488357
1941133072.0,UNVR,2018-09-17,2000000.0,3874332.6,0.5162179416398065,Market Model,2018-09-17,0.0347476225,0.036720531,0.0370519979,250.0,0.0,0,1,15.169883973677841
1941134857.0,IBCP,2018-09-20,726500.0,585661.75,1.2404771184049497,Market Model,2018-09-20,-0.002061856,-0.008435102,-0.008739188,250.0,0.0,1,0,13.280497683474424
1941135605.0,SIRI,2018-09-24,3500000.0,31326972.9,0.1117248069633948,Market Model,2018-09-24,-0.105563481,-0.10462773,-0.104356809,250.0,1.0,1,1,17.2599900384072
1941139645.0,AMNB,2018-10-01,84200.0,339846.0,0.247759279202933,Market Model,2018-10-01,-0.039487179,-0.039051836,-0.039168967,250.0,1.0,1,1,12.736247852807034
1941139226.0,CLDR,2018-10-03,1794207.0,2553826.6,0.7025563129462274,Market Model,2018-10-03,0.1082024433,0.1189035294,0.1179747091,250.0,1.0,1,1,14.753103419769362
1941152135.0,AM,2018-10-09,7200000.0,5514086.6,1.305746630820053,Market Model,2018-10-09,0.1442501681,0.1787972752,0.1777707858,250.0,0.026125,1,0,15.522816575919517
1941112138.0,TDG,2018-10-09,4000000.0,18728029.65,0.2135836003442038,Market Model,2018-10-09,-0.05628018,-0.03167392,-0.030726627,250.0,0.0,1,1,16.745531871342575
1941141997.0,FRME,2018-10-10,290900.0,2253731.55,0.129074822598104,Market Model,2018-10-10,-0.032646801,0.0158644556,0.0155231343,250.0,1.0,1,1,14.628097867110082
1941141641.0,AMED,2018-10-10,340000.0,3788900.22,0.0897358020159211,Market Model,2018-10-10,-0.028588547,-0.001319752,-0.001823349,250.0,0.0,0,1,15.14758635552889
1941142565.0,FIBK,2018-10-11,181300.0,1749203.1,0.1036471979726082,Market Model,2018-10-11,-0.060665362,-0.027400683,-0.026318182,250.0,0.9702151130722559,0,1,14.37467087075807
1941143573.0,TWLO,2018-10-15,3000000.0,5764275.0,0.520447064028,Market Model,2018-10-15,0.095684803,0.0305031575,0.030755591,250.0,1.0,1,1,15.567189944887131
1941149081.0,VLO,2018-10-18,950000.0,44338268.52,0.0214261862655163,Market Model,2018-10-18,-0.124162024,-0.114570048,-0.112049405,250.0,0.0,1,0,17.607358711322306
1941222285.0,WEX,2018-10-22,310000.0,8009510.04,0.038703990437847,Market Model,2018-10-22,-0.021130905,-0.014693882,-0.01469994,250.0,0.0,0,1,15.896140148634345
1941228621.0,ORRF,2018-10-23,58500.0,197993.46,0.2954643047300653,Market Model,2018-10-23,-0.15676359,-0.148549207,-0.144914262,250.0,0.0,1,1,12.19598927882813
1941239205.0,MMLP,2018-10-24,145000.0,476239.2,0.3044688467476008,Market Model,2018-10-24,0.0381742739,0.0544223097,0.0545821728,250.0,0.0,0,0,13.073675528000562
2008235525.0,CRL,2018-10-25,83000.0,5441064.96,0.015254366674571,Market Model,2018-10-25,-0.027304877,0.0060605864,0.0032060475,250.0,0.0,0,1,15.509485364378598
1941148883.0,OCFC,2018-10-25,80000.0,1170360.58,0.0683550021823188,Market Model,2018-10-25,-0.009535161,0.0128002557,0.0116279021,250.0,1.0,0,1,13.97282244732795
1941148354.0,IBM,2018-10-28,34000000.0,113904318.72,0.2984961446771735,Market Model,2018-10-29,-0.087386319,-0.081896617,-0.079213754,250.0,0.0,0,0,18.550869344467685
1941149005.0,SSP,2018-10-29,521000.0,1112592.25,0.4682757766827874,Market Model,2018-10-29,0.010391198,0.0225660834,0.0218844068,250.0,0.0,0,1,13.922203210933063
1941178399.0,HBNC,2018-10-29,135300.0,650337.6,0.2080457903710319,Market Model,2018-10-29,0.0066066066,0.0103013952,0.0099413773,250.0,0.0,0,1,13.3852468916537
1941156664.0,MKSI,2018-10-30,1000000.0,3740080.8,0.2673739027242406,Market Model,2018-10-30,0.0411133088,0.0091450054,0.0087360253,250.0,0.0,1,1,15.134617773435421
1941150683.0,RTIX,2018-11-01,300000.0,290655.96,1.032148110776741,Market Model,2018-11-01,-0.064049587,-0.080418144,-0.079813995,250.0,0.0,0,0,12.579895578682201
1941150553.0,EFSC,2018-11-01,213000.0,1002521.85,0.212464197164381,Market Model,2018-11-01,0.0066666667,-0.010932257,-0.011056138,250.0,0.8215962441314554,0,0,13.818029233436565
1941151249.0,HUBG,2018-11-05,255000.0,1556907.84,0.1637861878837992,Market Model,2018-11-05,0.0426264801,0.0355494544,0.0356091595,250.0,0.0,0,0,14.258212258312849
1941153165.0,WES,2018-11-08,4015000.0,7137522.93,0.5625200842612215,Market Model,2018-11-08,0.127100073,0.1216994123,0.1204324621,250.0,0.5,0,1,15.7808763455507
1941153160.0,COHR,2018-11-09,3200000.0,3295430.38,0.971041603373214,Market Model,2018-11-09,-0.101618837,-0.050389247,-0.048737619,250.0,0.0,1,1,15.008047333474185
1941259305.0,NGHC,2018-11-13,52800.0,2970798.09,0.0177730018669831,Market Model,2018-11-13,-0.118275739,-0.107478731,-0.106469776,250.0,0.0,0,1,14.904341191852607
1941154951.0,PENN,2018-11-14,300000.0,2348594.56,0.1277359681868632,Market Model,2018-11-14,0.0653040877,0.0603308081,0.059404524,250.0,0.0,0,1,14.66932764763691
1941156205.0,XEC,2018-11-19,1600000.0,8463798.56,0.1890404159146245,Market Model,2018-11-19,-0.064791901,-0.032364135,-0.032075622,250.0,0.0,1,1,15.951308633175074
