,Relative_Size,Relative_Size,Relative_Size,Percent_Stock,Percent_Stock,Percent_Stock,Public_Target,Public_Target,Public_Target,Same_Industry,Same_Industry,Same_Industry,Log_Acq_Size,Log_Acq_Size,Log_Acq_Size
,All Deals,Small Targets,Large Targets,All Deals,Small Targets,Large Targets,All Deals,Small Targets,Large Targets,All Deals,Small Targets,Large Targets,All Deals,Small Targets,Large Targets
Number of Events,1446,723,723,1446,723,723,1446,723,723,1446,723,723,1446,723,723
Sample Mean,0.409822,0.037788,0.781856,0.207909,0.091337,0.324480,0.210235,0.125864,0.294606,0.652835,0.619640,0.686030,15.438534,16.424617,14.452451
Sample Standard deviation,2.724651,0.026966,3.818350,0.368056,0.260930,0.419306,0.407617,0.331926,0.456181,0.476233,0.485811,0.464425,1.886345,1.625901,1.590772
Sample skewness,17.4560,0.5387,12.4054,1.4159,2.8000,0.7310,1.4222,2.2559,0.9011,-0.6421,-0.4929,-0.8017,0.2810,0.6093,0.2043
Sample kurtosis,325.7747,2.2289,164.2613,3.2500,9.3331,1.7457,3.0228,6.0890,1.8120,1.4123,1.2429,1.6427,3.3523,3.0578,3.8138
JB test statistic,6350491.0345,52.8852,801950.9569,486.9034,2152.9659,111.7845,487.5209,900.6878,140.3634,251.2399,122.2778,132.9429,26.5049,44.8403,24.9802
JB p-value,0.0000e+00,3.2819e-12,0.0000e+00,1.8632e-106,0.0000e+00,5.3248e-25,1.3683e-106,2.6189e-196,3.3150e-31,2.7794e-55,2.8035e-27,1.3546e-29,1.7561e-06,1.8326e-10,3.7638e-06
